,Euclidean + NCM,NCMML
FOLD 1,0.75,0.7582304526748971
FOLD 2,0.7458847736625515,0.7664609053497943
FOLD 3,0.7510288065843621,0.7633744855967078
FOLD 4,0.7314814814814815,0.7448559670781894
FOLD 5,0.7255909558067831,0.7615621788283659
FOLD 6,0.7389516957862282,0.7533401849948612
FOLD 7,0.7399794450154162,0.763617677286742
FOLD 8,0.7453798767967146,0.7669404517453798
FOLD 9,0.7433264887063655,0.75564681724846
FOLD 10,0.7453798767967146,0.7535934291581109
MEAN,0.7417003400636618,0.7587622549961509
