,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.779835390946502,0.668724279835391
FOLD 2,0.7860082304526749,0.7160493827160493
FOLD 3,0.7119341563786008,0.6965020576131687
FOLD 4,0.7757201646090535,0.691358024691358
FOLD 5,0.7790339157245632,0.697841726618705
FOLD 6,0.7831449126413155,0.7091469681397738
FOLD 7,0.7872559095580678,0.7317574511819116
FOLD 8,0.784394250513347,0.7361396303901437
FOLD 9,0.7823408624229979,0.7412731006160165
FOLD 10,0.7135523613963038,0.6960985626283368
MEAN,0.7683220154643426,0.7084891184430855
