,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.748191027496382,0.748191027496382,0.7496382054992764,0.748191027496382,0.748191027496382,0.7424023154848046,0.6917510853835022,0.6758321273516642,0.662807525325615,0.6468885672937771,0.6801736613603473,0.7250361794500724,0.723589001447178,0.7206946454413893,0.7221418234442837,0.7076700434153401,0.7510853835021708,0.748191027496382,0.7496382054992764,0.748191027496382,0.7727930535455861,0.7539797395079595,0.7583212735166426,0.7467438494934877,0.7670043415340086,0.9971056439942113
FOLD 2,0.7293777134587555,0.7293777134587555,0.7250361794500724,0.7293777134587555,0.7293777134587555,0.7163531114327062,0.7047756874095513,0.6874095513748191,0.6729377713458755,0.6541244573082489,0.6642547033285094,0.6989869753979739,0.7018813314037626,0.6989869753979739,0.7322720694645442,0.723589001447178,0.7308248914616498,0.7380607814761215,0.7395079594790159,0.7467438494934877,0.7626628075253257,0.7366136034732272,0.7366136034732272,0.748191027496382,0.7366136034732272,0.9956584659913169
FOLD 3,0.7525325615050651,0.7525325615050651,0.7496382054992764,0.7467438494934877,0.7525325615050651,0.723589001447178,0.6801736613603473,0.6353111432706223,0.6541244573082489,0.6845151953690304,0.6208393632416788,0.7018813314037626,0.6975397973950795,0.6989869753979739,0.7178002894356006,0.7149059334298119,0.7554269175108539,0.7525325615050651,0.7626628075253257,0.7496382054992764,0.7829232995658466,0.7467438494934877,0.7539797395079595,0.7293777134587555,0.7539797395079595,1.0
FOLD 4,0.7337192474674384,0.7337192474674384,0.7293777134587555,0.7279305354558611,0.7337192474674384,0.7004341534008683,0.6599131693198264,0.6700434153400868,0.6714905933429812,0.6570188133140377,0.6657018813314037,0.7134587554269175,0.7134587554269175,0.7134587554269175,0.7206946454413893,0.7105643994211288,0.723589001447178,0.7206946454413893,0.7192474674384949,0.7395079594790159,0.7568740955137482,0.7264833574529667,0.7395079594790159,0.7308248914616498,0.7366136034732272,1.0
FOLD 5,0.7308248914616498,0.7308248914616498,0.7264833574529667,0.7279305354558611,0.7308248914616498,0.7120115774240231,0.6599131693198264,0.6743849493487699,0.6555716353111433,0.6657018813314037,0.6657018813314037,0.7264833574529667,0.723589001447178,0.723589001447178,0.7163531114327062,0.7076700434153401,0.7221418234442837,0.7293777134587555,0.7366136034732272,0.7293777134587555,0.7583212735166426,0.7380607814761215,0.7424023154848046,0.7322720694645442,0.7496382054992764,0.9782923299565847
FOLD 6,0.7452966714905933,0.7452966714905933,0.7395079594790159,0.7452966714905933,0.7452966714905933,0.7192474674384949,0.7076700434153401,0.6903039073806078,0.683068017366136,0.6570188133140377,0.6816208393632417,0.7293777134587555,0.7264833574529667,0.7206946454413893,0.7192474674384949,0.7004341534008683,0.7467438494934877,0.7467438494934877,0.7655571635311144,0.7655571635311144,0.7655571635311144,0.7452966714905933,0.7525325615050651,0.7395079594790159,0.7583212735166426,0.9971056439942113
FOLD 7,0.7395079594790159,0.7395079594790159,0.7395079594790159,0.7424023154848046,0.7395079594790159,0.7221418234442837,0.6946454413892909,0.683068017366136,0.6772793053545586,0.6439942112879884,0.6483357452966715,0.7264833574529667,0.7279305354558611,0.7293777134587555,0.7105643994211288,0.7091172214182344,0.7380607814761215,0.7395079594790159,0.7452966714905933,0.7510853835021708,0.7727930535455861,0.7409551374819102,0.7452966714905933,0.7554269175108539,0.7554269175108539,1.0
FOLD 8,0.7395079594790159,0.7395079594790159,0.7380607814761215,0.7380607814761215,0.7395079594790159,0.7120115774240231,0.6657018813314037,0.6845151953690304,0.6599131693198264,0.6251808972503617,0.6931982633863966,0.7134587554269175,0.7105643994211288,0.7120115774240231,0.7047756874095513,0.6888567293777135,0.7467438494934877,0.7424023154848046,0.7568740955137482,0.7568740955137482,0.7742402315484804,0.7424023154848046,0.7424023154848046,0.7539797395079595,0.7510853835021708,1.0
FOLD 9,0.7369942196531792,0.7369942196531792,0.7442196531791907,0.75,0.7369942196531792,0.7297687861271677,0.6734104046242775,0.6979768786127167,0.6661849710982659,0.615606936416185,0.6604046242774566,0.7312138728323699,0.7167630057803468,0.7225433526011561,0.726878612716763,0.7210982658959537,0.7369942196531792,0.7442196531791907,0.7528901734104047,0.7471098265895953,0.7601156069364162,0.726878612716763,0.7586705202312138,0.7528901734104047,0.7687861271676301,1.0
FOLD 10,0.7167630057803468,0.7167630057803468,0.7196531791907514,0.7210982658959537,0.7167630057803468,0.703757225433526,0.6820809248554913,0.6546242774566474,0.6502890173410405,0.684971098265896,0.6705202312138728,0.703757225433526,0.7023121387283237,0.7008670520231214,0.6936416184971098,0.6921965317919075,0.708092485549133,0.7196531791907514,0.7326589595375722,0.7210982658959537,0.7225433526011561,0.7210982658959537,0.7239884393063584,0.708092485549133,0.7283236994219653,1.0
