,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8667820069204152,0.860726643598616,0.8555363321799307,0.865916955017301,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 2,0.8686257562662058,0.8668971477960242,0.8565254969749352,0.8703543647363872,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 3,0.8672413793103448,0.8629310344827587,0.8568965517241379,0.8689655172413793,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 4,0.8672413793103448,0.8689655172413793,0.8525862068965517,0.8758620689655172,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 5,0.8629310344827587,0.8560344827586207,0.8456896551724138,0.8629310344827587,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 6,0.8639104220499569,0.8699397071490095,0.8475452196382429,0.8690783807062877,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 7,0.8682170542635659,0.85099052540913,0.8535745047372955,0.8682170542635659,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 8,0.8631669535283993,0.8528399311531841,0.8537005163511188,0.8605851979345955,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 9,0.8648881239242685,0.8554216867469879,0.8537005163511188,0.8666092943201377,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 10,0.8623063683304647,0.8545611015490534,0.8554216867469879,0.8623063683304647,0.0,0.0,0.0,0.0,0.0,0.0
MEAN,0.8655310478386724,0.8599307777884764,0.8531176686772735,0.8670826235998395,0.0,0.0,0.0,0.0,0.0,0.0
