,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8789346246973365,0.9225181598062954,0.8983050847457628,0.8934624697336562,0.9200968523002422,0.0,0.0,0.0,0.0,0.0
FOLD 2,0.8934624697336562,0.937046004842615,0.9346246973365617,0.910411622276029,0.9225181598062954,0.0,0.0,0.0,0.0,0.0
FOLD 3,0.87409200968523,0.9128329297820823,0.9152542372881356,0.8983050847457628,0.9249394673123487,0.0,0.0,0.0,0.0,0.0
FOLD 4,0.8789346246973365,0.927360774818402,0.9176755447941889,0.8983050847457628,0.9225181598062954,0.0,0.0,0.0,0.0,0.0
FOLD 5,0.8910411622276029,0.9346246973365617,0.9200968523002422,0.910411622276029,0.9200968523002422,0.0,0.0,0.0,0.0,0.0
FOLD 6,0.8765133171912833,0.927360774818402,0.937046004842615,0.8958837772397095,0.9249394673123487,0.0,0.0,0.0,0.0,0.0
FOLD 7,0.8714285714285714,0.9333333333333333,0.9261904761904762,0.9047619047619048,0.9380952380952381,0.0,0.0,0.0,0.0,0.0
FOLD 8,0.8785714285714286,0.9333333333333333,0.9238095238095239,0.8857142857142857,0.930952380952381,0.0,0.0,0.0,0.0,0.0
FOLD 9,0.8809523809523809,0.930952380952381,0.9428571428571428,0.9047619047619048,0.9357142857142857,0.0,0.0,0.0,0.0,0.0
FOLD 10,0.888095238095238,0.930952380952381,0.9285714285714286,0.9071428571428571,0.9380952380952381,0.0,0.0,0.0,0.0,0.0
MEAN,0.8812025827280063,0.9290314769975787,0.9244430992736078,0.9009160613397901,0.9277966101694917,0.0,0.0,0.0,0.0,0.0
