,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.8494623655913979,0.8494623655913979,0.8548387096774194,0.8548387096774194,0.8494623655913979,0.8548387096774194,0.6451612903225806,0.6720430107526881,0.6935483870967742,0.6397849462365591,0.6666666666666666,0.7419354838709677,0.7473118279569892,0.7419354838709677,0.8118279569892473,0.8655913978494624,0.9247311827956989,0.8655913978494624,0.8817204301075269,0.8494623655913979,0.9354838709677419,0.989247311827957,1.0,1.0,1.0,1.0
FOLD 2,0.786096256684492,0.786096256684492,0.7967914438502673,0.7967914438502673,0.786096256684492,0.8074866310160428,0.6149732620320856,0.6042780748663101,0.6042780748663101,0.5347593582887701,0.6844919786096256,0.7593582887700535,0.7593582887700535,0.7540106951871658,0.7967914438502673,0.8021390374331551,0.9037433155080213,0.8449197860962567,0.8556149732620321,0.8342245989304813,0.9144385026737968,0.9786096256684492,1.0,1.0,1.0,1.0
FOLD 3,0.839572192513369,0.839572192513369,0.8502673796791443,0.8502673796791443,0.839572192513369,0.8502673796791443,0.6203208556149733,0.6363636363636364,0.6684491978609626,0.6951871657754011,0.7058823529411765,0.7433155080213903,0.7433155080213903,0.7540106951871658,0.8235294117647058,0.8449197860962567,0.9037433155080213,0.8823529411764706,0.8663101604278075,0.8716577540106952,0.9411764705882353,0.983957219251337,1.0,1.0,1.0,1.0
FOLD 4,0.8342245989304813,0.8342245989304813,0.8288770053475936,0.8288770053475936,0.8342245989304813,0.839572192513369,0.6149732620320856,0.5989304812834224,0.6203208556149733,0.5401069518716578,0.7272727272727273,0.7486631016042781,0.7486631016042781,0.7486631016042781,0.8609625668449198,0.8663101604278075,0.9037433155080213,0.8823529411764706,0.8663101604278075,0.8877005347593583,0.9358288770053476,0.9946524064171123,1.0,1.0,1.0,1.0
FOLD 5,0.8288770053475936,0.8288770053475936,0.839572192513369,0.839572192513369,0.8288770053475936,0.839572192513369,0.6363636363636364,0.6577540106951871,0.6898395721925134,0.5935828877005348,0.7005347593582888,0.7540106951871658,0.7486631016042781,0.7486631016042781,0.8288770053475936,0.8502673796791443,0.9144385026737968,0.8609625668449198,0.8609625668449198,0.8663101604278075,0.93048128342246,0.946524064171123,1.0,1.0,1.0,1.0
FOLD 6,0.8235294117647058,0.8235294117647058,0.8288770053475936,0.8288770053475936,0.8235294117647058,0.8342245989304813,0.6363636363636364,0.6149732620320856,0.6149732620320856,0.5882352941176471,0.6417112299465241,0.7272727272727273,0.732620320855615,0.7379679144385026,0.8288770053475936,0.8342245989304813,0.8877005347593583,0.8716577540106952,0.8556149732620321,0.8770053475935828,0.9251336898395722,0.9358288770053476,1.0,1.0,1.0,1.0
FOLD 7,0.8609625668449198,0.8609625668449198,0.8556149732620321,0.8556149732620321,0.8609625668449198,0.8502673796791443,0.6684491978609626,0.6470588235294118,0.6684491978609626,0.5935828877005348,0.6631016042780749,0.7807486631016043,0.7807486631016043,0.7807486631016043,0.8181818181818182,0.8449197860962567,0.93048128342246,0.8770053475935828,0.8663101604278075,0.8877005347593583,0.946524064171123,1.0,1.0,1.0,1.0,1.0
FOLD 8,0.8404255319148937,0.8404255319148937,0.8457446808510638,0.851063829787234,0.8404255319148937,0.8457446808510638,0.675531914893617,0.601063829787234,0.601063829787234,0.6223404255319149,0.6436170212765957,0.7712765957446809,0.7712765957446809,0.7712765957446809,0.8670212765957447,0.8776595744680851,0.8882978723404256,0.8776595744680851,0.8723404255319149,0.8882978723404256,0.9361702127659575,0.9414893617021277,1.0,1.0,1.0,1.0
FOLD 9,0.8351063829787234,0.8351063829787234,0.8351063829787234,0.8351063829787234,0.8351063829787234,0.8404255319148937,0.5797872340425532,0.6276595744680851,0.6063829787234043,0.6223404255319149,0.6648936170212766,0.7553191489361702,0.7606382978723404,0.7553191489361702,0.8138297872340425,0.8297872340425532,0.9202127659574468,0.8670212765957447,0.8617021276595744,0.8723404255319149,0.925531914893617,0.9946808510638298,1.0,1.0,1.0,1.0
FOLD 10,0.8191489361702128,0.8191489361702128,0.8297872340425532,0.8297872340425532,0.8191489361702128,0.8297872340425532,0.5691489361702128,0.6276595744680851,0.6436170212765957,0.6276595744680851,0.7340425531914894,0.7180851063829787,0.723404255319149,0.7287234042553191,0.8138297872340425,0.8351063829787234,0.898936170212766,0.8670212765957447,0.851063829787234,0.8563829787234043,0.9414893617021277,0.9414893617021277,1.0,1.0,1.0,1.0
MEAN,0.8317405248740789,0.8317405248740789,0.836547700754976,0.837079615648593,0.8317405248740789,0.8392186530817483,0.6261073225696343,0.6287784278246147,0.6410922377311816,0.6057579917223019,0.6832214510562447,0.7499985318892017,0.7515999960850378,0.7521318803930133,0.8263728059389976,0.8450925338001924,0.9076028258686015,0.8696544862407432,0.8637949807738657,0.8691082572668426,0.9332258248029979,0.970647907880941,1.0,1.0,1.0,1.0
