,Euclidean + NCM,NCMML
FOLD 1,0.7473118279569892,0.9354838709677419
FOLD 2,0.7433155080213903,0.9090909090909091
FOLD 3,0.7272727272727273,0.9197860962566845
FOLD 4,0.7219251336898396,0.93048128342246
FOLD 5,0.7165775401069518,0.9197860962566845
FOLD 6,0.7112299465240641,0.893048128342246
FOLD 7,0.7593582887700535,0.9358288770053476
FOLD 8,0.7340425531914894,0.9521276595744681
FOLD 9,0.6914893617021277,0.9468085106382979
FOLD 10,0.7127659574468085,0.9148936170212766
MEAN,0.7265288844682442,0.9257335048576115
