,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.8763440860215054,0.956989247311828
FOLD 2,0.8609625668449198,0.9411764705882353
FOLD 3,0.8449197860962567,0.9411764705882353
FOLD 4,0.8288770053475936,0.9197860962566845
FOLD 5,0.8342245989304813,0.9358288770053476
FOLD 6,0.839572192513369,0.9411764705882353
FOLD 7,0.8449197860962567,0.9411764705882353
FOLD 8,0.8138297872340425,0.9468085106382979
FOLD 9,0.7978723404255319,0.9521276595744681
FOLD 10,0.8191489361702128,0.9361702127659575
MEAN,0.836067108568017,0.9412416485905524
