,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8692493946731235,0.9539951573849879,0.87409200968523,0.8619854721549637,0.9467312348668281,0.9297820823244553,0.9418886198547215,0.0,0.0,0.0
FOLD 2,0.8498789346246973,0.9225181598062954,0.8910411622276029,0.8619854721549637,0.9443099273607748,0.927360774818402,0.927360774818402,0.0,0.0,0.0
FOLD 3,0.8599033816425121,0.9396135265700483,0.8671497584541062,0.8623188405797102,0.9516908212560387,0.9251207729468599,0.9371980676328503,0.0,0.0,0.0
FOLD 4,0.855072463768116,0.9347826086956522,0.9130434782608695,0.8623188405797102,0.9420289855072463,0.9251207729468599,0.9347826086956522,0.0,0.0,0.0
FOLD 5,0.8454106280193237,0.927536231884058,0.8719806763285024,0.855072463768116,0.9347826086956522,0.9154589371980676,0.9178743961352657,0.0,0.0,0.0
FOLD 6,0.8526570048309179,0.9154589371980676,0.8985507246376812,0.8502415458937198,0.9396135265700483,0.9130434782608695,0.9202898550724637,0.0,0.0,0.0
FOLD 7,0.8671497584541062,0.9396135265700483,0.8743961352657005,0.855072463768116,0.9516908212560387,0.9420289855072463,0.9444444444444444,0.0,0.0,0.0
FOLD 8,0.857487922705314,0.927536231884058,0.9082125603864735,0.8816425120772947,0.9492753623188406,0.9178743961352657,0.9347826086956522,0.0,0.0,0.0
FOLD 9,0.8554216867469879,0.9325301204819277,0.8698795180722891,0.8602409638554217,0.944578313253012,0.9132530120481928,0.9325301204819277,0.0,0.0,0.0
FOLD 10,0.8626506024096385,0.9301204819277108,0.891566265060241,0.8650602409638555,0.9518072289156626,0.9325301204819277,0.9349397590361446,0.0,0.0,0.0
MEAN,0.8574881777874737,0.9323704982402854,0.8859912288378696,0.8615938815795872,0.9456508830000143,0.9241573332668146,0.9326091254867525,0.0,0.0,0.0
