,PCA,LDA,ANMM,DMLMJ,NCA,LMNN
FOLD 1,0.8401937046004843,0.9539951573849879,0.8861985472154964,0.9128329297820823,0.0,0.0
FOLD 2,0.8401937046004843,0.9225181598062954,0.87409200968523,0.9152542372881356,0.0,0.0
FOLD 3,0.8502415458937198,0.9396135265700483,0.8792270531400966,0.9009661835748792,0.0,0.0
FOLD 4,0.8478260869565217,0.9347826086956522,0.8768115942028986,0.8985507246376812,0.0,0.0
FOLD 5,0.8309178743961353,0.927536231884058,0.8671497584541062,0.8719806763285024,0.0,0.0
FOLD 6,0.8502415458937198,0.9154589371980676,0.8671497584541062,0.8913043478260869,0.0,0.0
FOLD 7,0.8502415458937198,0.9396135265700483,0.8768115942028986,0.893719806763285,0.0,0.0
FOLD 8,0.8429951690821256,0.927536231884058,0.8719806763285024,0.9057971014492754,0.0,0.0
FOLD 9,0.8409638554216867,0.9325301204819277,0.8795180722891566,0.891566265060241,0.0,0.0
FOLD 10,0.8578313253012049,0.9301204819277108,0.8843373493975903,0.8939759036144578,0.0,0.0
MEAN,0.8451646358039803,0.9323704982402854,0.8763276413370082,0.8975948176324626,0.0,0.0
