,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.8789346246973365,0.8789346246973365,0.8789346246973365,0.8789346246973365,0.8789346246973365,0.8523002421307506,0.87409200968523,0.8232445520581114,0.8232445520581114,0.7941888619854721,0.7554479418886199,0.8958837772397095,0.8958837772397095,0.8958837772397095,0.87409200968523,0.9031476997578692,0.8934624697336562,0.8958837772397095,0.9055690072639225,0.8934624697336562,0.9200968523002422,0.9539951573849879,0.9685230024213075,0.9709443099273608,0.9685230024213075,1.0
FOLD 2,0.8426150121065376,0.8426150121065376,0.8426150121065376,0.8426150121065376,0.8426150121065376,0.8256658595641646,0.847457627118644,0.864406779661017,0.8595641646489104,0.7336561743341404,0.7530266343825666,0.87409200968523,0.87409200968523,0.87409200968523,0.8668280871670703,0.9079903147699758,0.8668280871670703,0.8813559322033898,0.87409200968523,0.87409200968523,0.9007263922518159,0.9418886198547215,0.9491525423728814,0.9394673123486683,0.937046004842615,1.0
FOLD 3,0.8478260869565217,0.8478260869565217,0.8454106280193237,0.8454106280193237,0.8478260869565217,0.8236714975845411,0.8695652173913043,0.8188405797101449,0.8091787439613527,0.751207729468599,0.7681159420289855,0.8647342995169082,0.8647342995169082,0.8647342995169082,0.857487922705314,0.8985507246376812,0.855072463768116,0.8864734299516909,0.8840579710144928,0.8864734299516909,0.9009661835748792,0.9444444444444444,0.9516908212560387,0.9565217391304348,0.9565217391304348,1.0
FOLD 4,0.8526570048309179,0.8526570048309179,0.8526570048309179,0.8526570048309179,0.8526570048309179,0.8333333333333334,0.8502415458937198,0.8115942028985508,0.8019323671497585,0.6690821256038647,0.7584541062801933,0.8792270531400966,0.8792270531400966,0.8792270531400966,0.8526570048309179,0.9057971014492754,0.8623188405797102,0.8913043478260869,0.8864734299516909,0.8719806763285024,0.9009661835748792,0.9516908212560387,0.9541062801932367,0.9420289855072463,0.9565217391304348,0.9951690821256038
FOLD 5,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.8260869565217391,0.8357487922705314,0.8091787439613527,0.8067632850241546,0.7560386473429952,0.7391304347826086,0.8647342995169082,0.8623188405797102,0.8623188405797102,0.855072463768116,0.8961352657004831,0.8526570048309179,0.8816425120772947,0.8792270531400966,0.8792270531400966,0.8961352657004831,0.9227053140096618,0.9347826086956522,0.9420289855072463,0.9444444444444444,1.0
FOLD 6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8357487922705314,0.8333333333333334,0.8164251207729468,0.8333333333333334,0.8381642512077294,0.8381642512077294,0.717391304347826,0.7584541062801933,0.8719806763285024,0.8719806763285024,0.8719806763285024,0.8623188405797102,0.9009661835748792,0.8429951690821256,0.8719806763285024,0.8671497584541062,0.8816425120772947,0.8985507246376812,0.9251207729468599,0.9468599033816425,0.9299516908212561,0.9444444444444444,0.9975845410628019
FOLD 7,0.8671497584541062,0.8671497584541062,0.8671497584541062,0.8695652173913043,0.8671497584541062,0.8357487922705314,0.8333333333333334,0.8502415458937198,0.857487922705314,0.6956521739130435,0.7415458937198067,0.8864734299516909,0.8864734299516909,0.8864734299516909,0.8816425120772947,0.9057971014492754,0.8743961352657005,0.8913043478260869,0.9009661835748792,0.9009661835748792,0.9178743961352657,0.9202898550724637,0.966183574879227,0.9565217391304348,0.9565217391304348,0.9975845410628019
FOLD 8,0.8429951690821256,0.8429951690821256,0.8454106280193237,0.8454106280193237,0.8429951690821256,0.8454106280193237,0.857487922705314,0.821256038647343,0.821256038647343,0.7077294685990339,0.7391304347826086,0.8816425120772947,0.8816425120772947,0.8816425120772947,0.8647342995169082,0.8888888888888888,0.8671497584541062,0.8864734299516909,0.8816425120772947,0.8768115942028986,0.8888888888888888,0.9299516908212561,0.9468599033816425,0.9492753623188406,0.9468599033816425,1.0
FOLD 9,0.8385542168674699,0.8385542168674699,0.8385542168674699,0.8385542168674699,0.8385542168674699,0.8240963855421687,0.8240963855421687,0.8433734939759037,0.8530120481927711,0.7204819277108434,0.7421686746987952,0.8698795180722891,0.8698795180722891,0.8722891566265061,0.8602409638554217,0.8939759036144578,0.8674698795180723,0.8746987951807229,0.8674698795180723,0.8843373493975903,0.8963855421686747,0.9325301204819277,0.9397590361445783,0.9349397590361446,0.9397590361445783,1.0
FOLD 10,0.8481927710843373,0.8481927710843373,0.8481927710843373,0.8481927710843373,0.8481927710843373,0.8457831325301205,0.8650602409638555,0.8433734939759037,0.8433734939759037,0.7180722891566265,0.744578313253012,0.8891566265060241,0.8891566265060241,0.8891566265060241,0.8602409638554217,0.8867469879518072,0.8602409638554217,0.8891566265060241,0.8819277108433735,0.8819277108433735,0.8939759036144578,0.946987951807229,0.9373493975903614,0.9373493975903614,0.946987951807229,1.0
MEAN,0.8500084064369207,0.8500084064369207,0.8500084064369208,0.8504914982243605,0.8500084064369207,0.8328521948269622,0.8490416408237433,0.8323673681989776,0.8313976867571349,0.7263500702462444,0.7500052482097389,0.8777804202034654,0.8775388743097455,0.8777798381651672,0.8635315068041404,0.8987996171794593,0.8642590772254897,0.8850273875091199,0.8828575515523159,0.8830920988935211,0.9014566332847267,0.936960474807959,0.9495267070316569,0.9459029281317994,0.9497630004877564,0.9990338164251208
