,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9484848484848485,0.5,0.9777777777777777,0.9868686868686869,0.9767676767676767,0.9343434343434344,0.9353535353535354,0.898989898989899,0.9484848484848485,0.8565656565656565
FOLD 2,0.9484848484848485,0.5181818181818182,0.9818181818181818,0.98989898989899,0.9818181818181818,0.9373737373737374,0.9232323232323232,0.8929292929292929,0.9484848484848485,0.8595959595959596
FOLD 3,0.9464646464646465,0.4919191919191919,0.9777777777777777,0.98989898989899,0.9808080808080808,0.9333333333333333,0.9333333333333333,0.8909090909090909,0.9464646464646465,0.8535353535353535
FOLD 4,0.9474747474747475,0.4818181818181818,0.9828282828282828,0.9919191919191919,0.9828282828282828,0.9323232323232323,0.9303030303030303,0.896969696969697,0.9474747474747475,0.8626262626262626
FOLD 5,0.9414141414141414,0.4626262626262626,0.9838383838383838,0.9878787878787879,0.9818181818181818,0.9363636363636364,0.9303030303030303,0.898989898989899,0.9414141414141414,0.8575757575757575
FOLD 6,0.9474747474747475,0.49393939393939396,0.9767676767676767,0.98989898989899,0.9808080808080808,0.9333333333333333,0.9303030303030303,0.8939393939393939,0.9474747474747475,0.8626262626262626
FOLD 7,0.9494949494949495,0.46464646464646464,0.9767676767676767,0.9868686868686869,0.9787878787878788,0.9292929292929293,0.9313131313131313,0.8848484848484849,0.9494949494949495,0.8626262626262626
FOLD 8,0.9505050505050505,0.48787878787878786,0.9757575757575757,0.9878787878787879,0.9787878787878788,0.9323232323232323,0.9313131313131313,0.897979797979798,0.9505050505050505,0.8616161616161616
FOLD 9,0.9464646464646465,0.5191919191919192,0.9828282828282828,0.9878787878787879,0.9828282828282828,0.9363636363636364,0.9363636363636364,0.8949494949494949,0.9464646464646465,0.8606060606060606
FOLD 10,0.9474747474747475,0.44343434343434346,0.9717171717171718,0.9858585858585859,0.9818181818181818,0.9383838383838384,0.9282828282828283,0.8949494949494949,0.9474747474747475,0.8575757575757575
MEAN,0.9473737373737373,0.48636363636363633,0.9787878787878788,0.9884848484848485,0.9807070707070707,0.9343434343434343,0.931010101010101,0.8945454545454545,0.9473737373737373,0.8594949494949494
