,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9281298299845441,0.9381761978361669,0.9358578052550232,0.9335394126738794,0.9381761978361669,0.9319938176197836,0.9343122102009274,0.9443585780525502,0.9281298299845441,0.9559505409582689
FOLD 2,0.9319938176197836,0.9420401854714064,0.9428129829984544,0.9358578052550232,0.9381761978361669,0.9327666151468316,0.9366306027820711,0.9443585780525502,0.9319938176197836,0.9544049459041731
FOLD 3,0.9397217928902627,0.9443585780525502,0.9582689335394127,0.9435857805255023,0.9752704791344667,0.9381761978361669,0.9489953632148377,0.9667697063369397,0.9397217928902627,0.9613601236476044
FOLD 4,0.933641975308642,0.9344135802469136,0.9367283950617284,0.9367283950617284,0.9483024691358025,0.9313271604938271,0.9367283950617284,0.9444444444444444,0.933641975308642,0.9583333333333334
FOLD 5,0.9282960678488821,0.9468003084040093,0.9336931380107941,0.9329221279876638,0.9414032382420972,0.930609097918273,0.9336931380107941,0.9452582883577486,0.9282960678488821,0.9599074787972244
FOLD 6,0.9336931380107941,0.930609097918273,0.938319198149576,0.936006168080185,0.938319198149576,0.9352351580570547,0.9352351580570547,0.9375481881264457,0.9336931380107941,0.9568234387047032
FOLD 7,0.9313801079414032,0.9321511179645335,0.9390902081727063,0.9352351580570547,0.943716268311488,0.9290670778720124,0.9313801079414032,0.9452582883577486,0.9313801079414032,0.9591364687740941
FOLD 8,0.9267540478026214,0.9375481881264457,0.938319198149576,0.9329221279876638,0.9421742482652274,0.930609097918273,0.9313801079414032,0.9429452582883577,0.9267540478026214,0.9629915188897455
FOLD 9,0.9298380878951427,0.9244410177332305,0.9390902081727063,0.936006168080185,0.9468003084040093,0.930609097918273,0.9352351580570547,0.9444872783346183,0.9298380878951427,0.9529683885890516
FOLD 10,0.9298380878951427,0.9429452582883577,0.9352351580570547,0.9329221279876638,0.9475713184271396,0.9298380878951427,0.9336931380107941,0.9429452582883577,0.9298380878951427,0.9660755589822668
MEAN,0.9313286953197217,0.9373483530041886,0.9397415225567031,0.9355725271696551,0.945990992374214,0.9320231408675637,0.935728337927807,0.9458373866639761,0.9313286953197217,0.9587951796580464
