,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.6081916537867079,0.7364760432766615
FOLD 2,0.6020092735703245,0.7333848531684699
FOLD 3,0.5935085007727975,0.8786707882534776
FOLD 4,0.5779320987654321,0.7253086419753086
FOLD 5,0.5774865073245952,0.7632999228989977
FOLD 6,0.5929067077872012,0.7270624518118736
FOLD 7,0.612952968388589,0.7278334618350039
FOLD 8,0.6098689282960679,0.7286044718581342
FOLD 9,0.6037008481110254,0.7124132613723978
FOLD 10,0.5813415574402467,0.7363145720894372
MEAN,0.5959899044242988,0.7469368468539762
