,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.641077441077441,0.795959595959596
FOLD 2,0.6786240786240786,0.5277641277641277
FOLD 3,0.6776412776412777,0.5267813267813268
FOLD 4,0.6777996070726916,0.5265225933202358
FOLD 5,0.6787819253438114,0.5275049115913556
FOLD 6,0.6787819253438114,0.5275049115913556
FOLD 7,0.6792730844793713,0.611984282907662
FOLD 8,0.6787819253438114,0.5270137524557956
FOLD 9,0.6779577810505646,0.5267550319096711
FOLD 10,0.6779577810505646,0.5267550319096711
MEAN,0.6746676827027424,0.5624545566190797
