,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.96996996996997,0.9797297297297297,0.972972972972973,0.9752252252252253,0.9812312312312312,0.9819819819819819,0.9797297297297297,0.9804804804804805,0.96996996996997,0.9804804804804805
FOLD 2,0.9692423105776444,0.986496624156039,0.972993248312078,0.9684921230307577,0.9834958739684921,0.9797449362340586,0.9849962490622656,0.9842460615153789,0.9692423105776444,0.9849962490622656
FOLD 3,0.9744936234058514,0.978244561140285,0.9737434358589647,0.9707426856714179,0.9819954988747187,0.978244561140285,0.9744936234058514,0.9767441860465116,0.9744936234058514,0.9767441860465116
FOLD 4,0.9714928732183046,0.978244561140285,0.9692423105776444,0.9692423105776444,0.9819954988747187,0.9797449362340586,0.9774943735933983,0.9774943735933983,0.9714928732183046,0.981245311327832
FOLD 5,0.9722430607651913,0.9827456864216054,0.9707426856714179,0.9722430607651913,0.9834958739684921,0.9804951237809453,0.9819954988747187,0.9819954988747187,0.9722430607651913,0.9819954988747187
FOLD 6,0.9699924981245311,0.9759939984996249,0.9684921230307577,0.9737434358589647,0.9827456864216054,0.9797449362340586,0.9804951237809453,0.9819954988747187,0.9699924981245311,0.9774943735933983
FOLD 7,0.9647411852963241,0.9774943735933983,0.9699924981245311,0.9662415603900976,0.9789947486871718,0.9789947486871718,0.9737434358589647,0.9804951237809453,0.9647411852963241,0.9827456864216054
FOLD 8,0.9722430607651913,0.9804951237809453,0.9744936234058514,0.9684921230307577,0.9804951237809453,0.9797449362340586,0.9797449362340586,0.9759939984996249,0.9722430607651913,0.9744936234058514
FOLD 9,0.9714928732183046,0.9827456864216054,0.9692423105776444,0.9752438109527382,0.9834958739684921,0.981245311327832,0.9819954988747187,0.9797449362340586,0.9714928732183046,0.9842460615153789
FOLD 10,0.9714928732183046,0.9797449362340586,0.9759939984996249,0.9752438109527382,0.9819954988747187,0.9804951237809453,0.9827456864216054,0.978244561140285,0.9714928732183046,0.9804951237809453
MEAN,0.9707404328559617,0.9801935281117578,0.9717909207031488,0.9714910146455533,0.9819940908650586,0.9800436595635397,0.9797434155836255,0.9797434719040121,0.9707404328559617,0.9804936594508987
