,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.7131578947368421,0.7776315789473685,0.7513157894736842,0.7723684210526316,0.8013157894736842,0.6881578947368421,0.6644736842105263,0.6578947368421053,0.7513157894736842,0.7197368421052631
FOLD 2,0.7171052631578947,0.7644736842105263,0.7513157894736842,0.7644736842105263,0.7921052631578948,0.7013157894736842,0.6644736842105263,0.6407894736842106,0.7539473684210526,0.7013157894736842
FOLD 3,0.7043363994743759,0.7555847568988173,0.759526938239159,0.7674113009198423,0.8462549277266754,0.6727989487516426,0.6530880420499343,0.6386333771353482,0.7542706964520368,0.7253613666228647
FOLD 4,0.7109067017082786,0.7818659658344284,0.7700394218134035,0.7608409986859396,0.8278580814717477,0.6898817345597897,0.6557161629434954,0.6517739816031537,0.7503285151116952,0.7227332457293035
FOLD 5,0.695137976346912,0.7490144546649146,0.7582128777923784,0.7608409986859396,0.8002628120893561,0.6701708278580815,0.6530880420499343,0.6478318002628121,0.7516425755584757,0.7017082785808147
FOLD 6,0.6990801576872536,0.7739816031537451,0.7779237844940867,0.7647831800262812,0.823915900131406,0.683311432325887,0.6504599211563732,0.6517739816031537,0.7477003942181341,0.7030223390275953
FOLD 7,0.7109067017082786,0.7660972404730617,0.7634691195795007,0.7608409986859396,0.812089356110381,0.7043363994743759,0.6622864651773982,0.6596583442838371,0.7542706964520368,0.7332457293035479
FOLD 8,0.7007874015748031,0.7755905511811023,0.7322834645669292,0.7585301837270341,0.8385826771653543,0.6758530183727034,0.6496062992125984,0.6535433070866141,0.7506561679790026,0.7125984251968503
FOLD 9,0.7077326343381389,0.7863695937090432,0.7771952817824378,0.7601572739187418,0.836173001310616,0.6775884665792923,0.6684141546526867,0.6343381389252949,0.7758846657929227,0.7155963302752294
FOLD 10,0.7185863874345549,0.768324607329843,0.7840314136125655,0.7735602094240838,0.8075916230366492,0.6924083769633508,0.668848167539267,0.6701570680628273,0.7722513089005235,0.7513089005235603
MEAN,0.7077737518167333,0.769893403640285,0.7625313880827829,0.764380724933696,0.8186149431673766,0.685582288909565,0.6590454623202738,0.6506394209489357,0.7562268178359564,0.7186627246838714
