,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.6092105263157894,0.7552631578947369
FOLD 2,0.6013157894736842,0.7447368421052631
FOLD 3,0.6057818659658344,0.735873850197109
FOLD 4,0.6084099868593955,0.7503285151116952
FOLD 5,0.6031537450722734,0.7424441524310118
FOLD 6,0.6057818659658344,0.7332457293035479
FOLD 7,0.6084099868593955,0.7463863337713534
FOLD 8,0.5958005249343832,0.7467191601049868
FOLD 9,0.601572739187418,0.7313237221494102
FOLD 10,0.6269633507853403,0.743455497382199
MEAN,0.6066400381419348,0.7429776960451313
