,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9046015712682379,0.7160493827160493,0.8574635241301908,0.9191919191919192,0.9225589225589226,0.8922558922558923,0.9023569023569024,0.7059483726150393,0.8204264870931538,0.7833894500561167
FOLD 2,0.8922558922558923,0.7171717171717171,0.8552188552188552,0.9113355780022446,0.9315375982042648,0.8888888888888888,0.8933782267115601,0.712682379349046,0.8226711560044894,0.7811447811447811
FOLD 3,0.8821548821548821,0.7373737373737373,0.8585858585858586,0.9248035914702581,0.9371492704826038,0.8900112233445566,0.9034792368125701,0.6812570145903479,0.819304152637486,0.8181818181818182
FOLD 4,0.8843995510662177,0.7115600448933782,0.8383838383838383,0.9158249158249159,0.9292929292929293,0.8922558922558923,0.9102132435465768,0.6857463524130191,0.8327721661054994,0.819304152637486
FOLD 5,0.8900112233445566,0.696969696969697,0.8406285072951739,0.9090909090909091,0.9248035914702581,0.8855218855218855,0.8956228956228957,0.7059483726150393,0.8305274971941639,0.8305274971941639
FOLD 6,0.9124579124579124,0.7239057239057239,0.8653198653198653,0.9292929292929293,0.9292929292929293,0.9090909090909091,0.9169472502805837,0.6936026936026936,0.8428731762065096,0.8080808080808081
FOLD 7,0.8821548821548821,0.7216610549943884,0.8641975308641975,0.9001122334455668,0.9180695847362514,0.8900112233445566,0.8967452300785634,0.6958473625140292,0.819304152637486,0.819304152637486
FOLD 8,0.8832772166105499,0.7182940516273849,0.8574635241301908,0.8945005611672279,0.9135802469135802,0.8765432098765432,0.712682379349046,0.7025813692480359,0.8013468013468014,0.7890011223344556
FOLD 9,0.8787878787878788,0.7138047138047138,0.8574635241301908,0.9012345679012346,0.9113355780022446,0.8720538720538721,0.8866442199775533,0.6812570145903479,0.8114478114478114,0.8114478114478114
FOLD 10,0.8855218855218855,0.7194163860830527,0.8540965207631874,0.9012345679012346,0.9057239057239057,0.8731762065095399,0.8911335578002245,0.6868686868686869,0.813692480359147,0.819304152637486
MEAN,0.8895622895622897,0.7176206509539844,0.8548821548821548,0.910662177328844,0.922334455667789,0.8869809203142536,0.8809203142536475,0.6951739618406285,0.8214365881032549,0.8079685746352412
