,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.6139169472502806,0.7138047138047138
FOLD 2,0.6105499438832772,0.7216610549943884
FOLD 3,0.6150392817059483,0.7575757575757576
FOLD 4,0.6094276094276094,0.7048260381593715
FOLD 5,0.622895622895623,0.7283950617283951
FOLD 6,0.621773288439955,0.7272727272727273
FOLD 7,0.6251402918069585,0.7160493827160493
FOLD 8,0.6127946127946128,0.7306397306397306
FOLD 9,0.5858585858585859,0.734006734006734
FOLD 10,0.5701459034792368,0.7384960718294051
MEAN,0.6087542087542086,0.7272727272727273
