,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9647749510763208,0.9784735812133072,0.9745596868884541,0.9608610567514676,0.9765166340508806,0.9667318982387476,0.9726027397260274,0.9667318982387476,0.9706457925636007,0.9510763209393346
FOLD 2,0.9647749510763208,0.974559686888454,0.980430528375734,0.9589041095890408,0.9765166340508806,0.9667318982387476,0.9784735812133072,0.9647749510763208,0.9765166340508806,0.9530332681017613
FOLD 3,0.97265625,0.974609375,0.974609375,0.962890625,0.978515625,0.97265625,0.98046875,0.966796875,0.9765625,0.94921875
FOLD 4,0.974609375,0.978515625,0.978515625,0.96875,0.984375,0.9765625,0.98046875,0.966796875,0.9765625,0.9609375
FOLD 5,0.966796875,0.96875,0.970703125,0.96484375,0.98046875,0.970703125,0.9765625,0.962890625,0.974609375,0.9453125
FOLD 6,0.974609375,0.98046875,0.97265625,0.97265625,0.9765625,0.97265625,0.9765625,0.96875,0.9765625,0.951171875
FOLD 7,0.970703125,0.978515625,0.96875,0.96484375,0.9765625,0.97265625,0.97265625,0.9609375,0.970703125,0.958984375
FOLD 8,0.97270955165692,0.9707602339181286,0.9746588693957114,0.9668615984405458,0.9785575048732944,0.97270955165692,0.9785575048732944,0.9688109161793372,0.9746588693957114,0.9454191033138402
FOLD 9,0.9688109161793372,0.9824561403508771,0.9707602339181286,0.9610136452241717,0.9844054580896686,0.9746588693957114,0.9805068226120858,0.9688109161793372,0.9785575048732943,0.95906432748538
FOLD 10,0.9688109161793372,0.9688109161793372,0.97270955165692,0.9649122807017544,0.9805068226120858,0.9688109161793372,0.9766081871345028,0.9512670565302144,0.9766081871345029,0.953216374269006
MEAN,0.9699256286168236,0.9755919933550103,0.9738353245234947,0.9646537065706982,0.9792987428676809,0.9714877508709463,0.9773467585559217,0.9646567613203958,0.975198698801799,0.9527434394109322
