,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9559748427672956,0.9622641509433962,0.9937106918238994,0.9811320754716981,1.0,0.9937106918238994,0.9748427672955975,0.9937106918238994,1.0,1.0
FOLD 2,0.975,0.93125,0.9875,0.9875,1.0,0.99375,0.99375,0.99375,1.0,1.0
FOLD 3,0.96875,0.95,0.99375,0.98125,1.0,0.99375,0.9875,1.0,1.0,1.0
FOLD 4,0.94375,0.95,0.9875,0.9875,1.0,0.99375,0.9875,0.99375,1.0,0.99375
FOLD 5,0.9625,0.95,0.99375,0.98125,0.99375,0.99375,0.99375,0.99375,0.99375,1.0
FOLD 6,0.95,0.95625,0.9875,0.975,0.99375,0.99375,0.9875,0.99375,1.0,0.99375
FOLD 7,0.95,0.9375,0.9875,0.98125,0.9875,0.99375,0.9875,0.9875,1.0,1.0
FOLD 8,0.95625,0.925,0.99375,0.98125,1.0,1.0,0.99375,1.0,0.99375,1.0
FOLD 9,0.968944099378882,0.9440993788819876,0.9937888198757764,0.9813664596273292,1.0,1.0,0.9813664596273292,0.9937888198757764,1.0,0.9937888198757764
FOLD 10,0.9506172839506173,0.9382716049382716,0.9876543209876543,0.9753086419753086,1.0,0.9938271604938271,0.9753086419753086,0.9876543209876543,0.9876543209876543,0.9938271604938271
MEAN,0.9581786226096796,0.9444635134763656,0.9906403832687332,0.9812807177074335,0.9975000000000002,0.9950037852317728,0.9862767868898235,0.9937653832687332,0.9975154320987656,0.9975115980369604
