,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.5671537926235213,0.5643702157272095,0.5762004175365344,0.5685455810716771,0.5970772442588727,0.5608907446068198,0.5594989561586639,0.5233124565066111,0.5539318023660403,0.5233124565066111
FOLD 2,0.5897079276773296,0.5584144645340751,0.5785813630041725,0.6001390820584145,0.6036161335187761,0.545201668984701,0.5757997218358831,0.5132127955493742,0.5764951321279554,0.5458970792767733
FOLD 3,0.5848400556328234,0.5751043115438108,0.5709318497913769,0.5876216968011126,0.6182197496522949,0.5737134909596662,0.5611961057023644,0.527816411682893,0.5723226703755215,0.5605006954102921
FOLD 4,0.5899930507296733,0.5670604586518415,0.5858234885337039,0.5865184155663655,0.5997220291869354,0.5719249478804725,0.56636553161918,0.5267546907574705,0.556636553161918,0.5149409312022237
FOLD 5,0.576094510076442,0.561501042390549,0.5691452397498262,0.5726198749131342,0.5962473940236275,0.5656706045865184,0.5517720639332869,0.5198054204308548,0.5726198749131342,0.5191104933981932
FOLD 6,0.5802640722724114,0.5865184155663655,0.5802640722724114,0.5830437804030577,0.580958999305073,0.5649756775538568,0.5649756775538568,0.5357887421820708,0.5781792911744267,0.5239749826268242
FOLD 7,0.5830437804030577,0.5608061153578874,0.5795691452397498,0.5858234885337039,0.5920778318276579,0.5684503127171647,0.5698401667824878,0.5455177206393329,0.5753995830437804,0.5670604586518415
FOLD 8,0.5767894371091036,0.5476025017373176,0.5684503127171647,0.5774843641417651,0.6080611535788742,0.5601111883252259,0.5656706045865184,0.5413481584433635,0.5594162612925643,0.5503822098679638
FOLD 9,0.5808466342817488,0.5857043719639139,0.5739070090215128,0.5801526717557252,0.6037473976405274,0.5669673837612769,0.5648854961832062,0.5315752949340735,0.5544760582928522,0.5329632199861207
FOLD 10,0.579750346740638,0.550624133148405,0.5714285714285714,0.5866851595006934,0.6227461858529819,0.5693481276005548,0.5769764216366158,0.5166435506241331,0.5762829403606102,0.5388349514563107
MEAN,0.5808483607546748,0.5657706030621374,0.5754301469295025,0.5828634114745649,0.602247411884562,0.5647254146976257,0.5656980745992063,0.5281775241750177,0.5675760167108803,0.5376977478383154
