,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.41614474599860823,0.42032011134307584
FOLD 2,0.4102920723226704,0.3713490959666203
FOLD 3,0.41237830319888735,0.4019471488178025
FOLD 4,0.4364141765114663,0.4405837387074357
FOLD 5,0.35232800555941624,0.3822098679638638
FOLD 6,0.38846421125781794,0.3780403057678944
FOLD 7,0.4058373870743572,0.42599027102154274
FOLD 8,0.40722724113968034,0.40027797081306465
FOLD 9,0.4115197779319917,0.4066620402498265
FOLD 10,0.42718446601941745,0.4042995839112344
MEAN,0.40677903870143134,0.4031680134562361
