,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.97557003257329,0.9788273615635179,0.970684039087948,0.969055374592834,0.982084690553746,0.977198697068404,0.977198697068404,0.97557003257329,0.9625407166123778,0.97557003257329
FOLD 2,0.969055374592834,0.9674267100977199,0.9609120521172638,0.96742671009772,0.972312703583062,0.97557003257329,0.972312703583062,0.97557003257329,0.9657980456026058,0.972312703583062
FOLD 3,0.970684039087948,0.9657980456026058,0.9641693811074918,0.96742671009772,0.972312703583062,0.973941368078176,0.972312703583062,0.973941368078176,0.9690553745928339,0.973941368078176
FOLD 4,0.977198697068404,0.9690553745928339,0.96742671009772,0.973941368078176,0.977198697068404,0.970684039087948,0.977198697068404,0.977198697068404,0.9788273615635179,0.97557003257329
FOLD 5,0.975609756097561,0.9723577235772358,0.9577235772357724,0.9723577235772358,0.975609756097561,0.9723577235772358,0.9739837398373984,0.975609756097561,0.9707317073170731,0.9723577235772358
FOLD 6,0.9707317073170731,0.9739837398373984,0.9609756097560976,0.9691056910569106,0.9788617886178862,0.9707317073170731,0.9739837398373984,0.975609756097561,0.9707317073170731,0.9723577235772358
FOLD 7,0.9707317073170731,0.9707317073170731,0.9593495934959351,0.9691056910569106,0.9739837398373984,0.975609756097561,0.9739837398373984,0.9772357723577236,0.9512195121951219,0.9739837398373984
FOLD 8,0.9691056910569106,0.9723577235772358,0.9642276422764228,0.9691056910569106,0.9772357723577236,0.9723577235772358,0.9739837398373984,0.9723577235772358,0.9723577235772358,0.9739837398373984
FOLD 9,0.975609756097561,0.9707317073170731,0.9609756097560976,0.9691056910569106,0.9723577235772358,0.9723577235772358,0.975609756097561,0.975609756097561,0.943089430894309,0.9723577235772358
FOLD 10,0.9756493506493508,0.9756493506493507,0.9675324675324676,0.9707792207792209,0.9805194805194806,0.9740259740259741,0.9772727272727272,0.9772727272727272,0.9691558441558441,0.9740259740259741
MEAN,0.9729946111858003,0.9716919444132044,0.9633976682463217,0.969740987145055,0.9762477055795561,0.9734834744980134,0.9747840244022814,0.9755975621793528,0.9653507423827993,0.9736460761240295
